E,DOS_s,DOS_p,DOS_d,DOS_f
15.5900000000000034,0.0000000005894737,0.0000000018603433,0.0000000003655262,0.0000000000086901
15.6000000000000014,0.0000000003950333,0.0000000012352486,0.0000000002426022,0.0000000000058167
15.6099999999999994,0.0000000002634570,0.0000000008163774,0.0000000001602518,0.0000000000038748
15.6199999999999974,0.0000000001748601,0.0000000005370328,0.0000000001053518,0.0000000000025689
15.6300000000000026,0.0000000001154980,0.0000000003516266,0.0000000000689306,0.0000000000016949
15.6400000000000006,0.0000000000759206,0.0000000002291562,0.0000000000448860,0.0000000000011129
15.6499999999999986,0.0000000000496643,0.0000000001486443,0.0000000000290897,0.0000000000007273
15.6599999999999966,0.0000000000323315,0.0000000000959687,0.0000000000187627,0.0000000000004730
15.6700000000000017,0.0000000000209462,0.0000000000616700,0.0000000000120443,0.0000000000003061
15.6799999999999997,0.0000000000135045,0.0000000000394438,0.0000000000076947,0.0000000000001972
15.6899999999999977,0.0000000000086645,0.0000000000251097,0.0000000000048925,0.0000000000001264
15.6999999999999957,0.0000000000055322,0.0000000000159096,0.0000000000030959,0.0000000000000806
15.7100000000000009,0.0000000000035152,0.0000000000100331,0.0000000000019498,0.0000000000000512
15.7199999999999989,0.0000000000022227,0.0000000000062974,0.0000000000012221,0.0000000000000323
15.7299999999999969,0.0000000000013986,0.0000000000039340,0.0000000000007623,0.0000000000000203
15.7399999999999949,0.0000000000008758,0.0000000000024460,0.0000000000004732,0.0000000000000127
15.7500000000000000,0.0000000000005458,0.0000000000015136,0.0000000000002924,0.0000000000000079
15.7599999999999980,0.0000000000003384,0.0000000000009323,0.0000000000001798,0.0000000000000049
15.7699999999999960,0.0000000000002088,0.0000000000005715,0.0000000000001100,0.0000000000000030
15.7800000000000011,0.0000000000001283,0.0000000000003486,0.0000000000000670,0.0000000000000019
15.7899999999999991,0.0000000000000784,0.0000000000002117,0.0000000000000406,0.0000000000000011
15.7999999999999972,0.0000000000000477,0.0000000000001279,0.0000000000000245,0.0000000000000007
15.8100000000000023,0.0000000000000288,0.0000000000000769,0.0000000000000147,0.0000000000000004
15.8200000000000003,0.0000000000000174,0.0000000000000461,0.0000000000000088,0.0000000000000003
15.8299999999999983,0.0000000000000104,0.0000000000000274,0.0000000000000052,0.0000000000000002
15.8400000000000034,0.0000000000000062,0.0000000000000163,0.0000000000000031,0.0000000000000001
15.8500000000000014,0.0000000000000037,0.0000000000000096,0.0000000000000018,0.0000000000000001
15.8599999999999994,0.0000000000000022,0.0000000000000056,0.0000000000000011,0.0000000000000000
15.8700000000000045,0.0000000000000013,0.0000000000000033,0.0000000000000006,0.0000000000000000
15.8800000000000026,0.0000000000000007,0.0000000000000019,0.0000000000000004,0.0000000000000000
15.8900000000000006,0.0000000000000004,0.0000000000000011,0.0000000000000002,0.0000000000000000
15.8999999999999986,0.0000000000000003,0.0000000000000006,0.0000000000000001,0.0000000000000000
15.9100000000000037,0.0000000000000001,0.0000000000000004,0.0000000000000001,0.0000000000000000
15.9200000000000017,0.0000000000000001,0.0000000000000002,0.0000000000000000,0.0000000000000000
15.9299999999999997,0.0000000000000000,0.0000000000000001,0.0000000000000000,0.0000000000000000
15.9399999999999977,0.0000000000000000,0.0000000000000001,0.0000000000000000,0.0000000000000000
15.9500000000000028,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
15.9600000000000009,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
15.9699999999999989,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
15.9799999999999969,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
15.9900000000000020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0099999999999980,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0199999999999960,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0300000000000011,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0399999999999991,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0499999999999972,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0600000000000023,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0700000000000003,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0799999999999983,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.0900000000000034,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1000000000000014,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1099999999999994,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1200000000000045,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1300000000000026,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1400000000000006,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1500000000000057,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1600000000000037,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1700000000000017,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1799999999999997,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.1900000000000048,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2000000000000028,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2100000000000009,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2199999999999989,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2300000000000040,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2400000000000020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2500000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2599999999999980,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2699999999999960,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2800000000000011,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2899999999999991,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.2999999999999972,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3099999999999952,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3200000000000003,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3299999999999983,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3399999999999963,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3499999999999943,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3599999999999994,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3699999999999974,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3799999999999955,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3900000000000006,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.3999999999999986,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4099999999999966,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4200000000000017,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4299999999999997,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4399999999999977,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4500000000000028,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4600000000000009,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4699999999999989,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4800000000000040,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.4900000000000020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5099999999999980,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5200000000000031,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5300000000000011,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5399999999999991,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5499999999999972,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5600000000000023,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5700000000000003,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5799999999999983,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.5899999999999963,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6000000000000014,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6099999999999994,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6199999999999974,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6299999999999955,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6400000000000006,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
